filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
subset.fast5	038cde8f-1602-4313-8f57-32e785579456	6a94eb36563a9975b38e81c41534f6590c24867c	0	64	1	26630.944000	27.939750	22351	TRUE	26630.944000	22351	27.939750	10700	11.959104	3.163234	74.270287	9.902705	74.270287	9.902705
subset.fast5	03f642cc-b768-411a-af5d-31bbb14223ac	6a94eb36563a9975b38e81c41534f6590c24867c	0	26	1	6719.690250	35.098250	28078	TRUE	6719.725250	28050	35.063250	12775	10.936032	3.098715	77.099632	9.195369	77.099632	9.195369
subset.fast5	06847f66-d8f6-484a-b3fa-5df94fec3cce	6a94eb36563a9975b38e81c41534f6590c24867c	0	27	1	20038.828250	22.395750	17916	TRUE	20038.883250	17872	22.340750	8659	13.971314	3.214366	71.794609	9.549037	71.794609	9.549037
subset.fast5	07d84ac7-134c-4d29-943c-6e45f7d8eac5	6a94eb36563a9975b38e81c41534f6590c24867c	0	104	1	83354.819000	38.948750	31159	TRUE	83354.856500	31129	38.911250	12839	13.488921	3.054324	75.331291	9.725871	75.331291	9.725871
subset.fast5	102b6536-5741-4bcd-b490-8b71b5b19a6e	6a94eb36563a9975b38e81c41534f6590c24867c	0	111	1	41096.532000	34.819500	27855	TRUE	41096.578250	27818	34.773250	12912	14.534135	3.176506	67.373764	9.195369	67.373764	9.195369
subset.fast5	206d384d-0604-456a-a2ff-62adfe855045	6a94eb36563a9975b38e81c41534f6590c24867c	0	54	1	13854.805500	32.155000	25724	TRUE	13854.849250	25689	32.111250	12881	12.855183	3.238599	72.325111	9.725871	72.325111	9.725871
subset.fast5	07991533-d57c-4c62-b1a7-68d82b2ee857	6a94eb36563a9975b38e81c41534f6590c24867c	0	43	1	90653.516250	38.429250	30743	TRUE	90653.552500	30714	38.393000	8633	12.603055	2.727287	68.434761	9.018535	68.434761	9.018535
subset.fast5	09743e57-5208-4968-96d5-747d1f00345b	6a94eb36563a9975b38e81c41534f6590c24867c	0	76	1	48661.927750	37.424500	29939	TRUE	48661.966500	29908	37.385750	12888	13.411386	3.090991	65.782257	9.195369	65.782257	9.195369
subset.fast5	107695e0-ac56-426f-a9d0-770b55a8c37f	6a94eb36563a9975b38e81c41534f6590c24867c	0	83	1	27483.511250	34.417250	27533	TRUE	27483.531250	27517	34.397250	12904	13.791847	3.196156	71.794609	9.195369	71.794609	9.195369
subset.fast5	10eafb80-74d7-4701-9946-f5e61abb210c	6a94eb36563a9975b38e81c41534f6590c24867c	0	95	1	46170.488250	30.005000	24004	TRUE	46170.527000	23973	29.966250	8511	13.833700	2.910230	69.142097	9.725871	69.142097	9.725871
subset.fast5	121700ae-55b7-4b52-8ef3-798851a2a0cb	6a94eb36563a9975b38e81c41534f6590c24867c	0	64	1	40362.683000	48.211750	38569	TRUE	40362.696750	38558	48.198000	12867	13.021807	2.846051	73.032448	9.195369	73.032448	9.195369
