sample	totalReads	totalCounts	length	guppyReads	guppyBases	filteredReads	filteredBases	correctedReads	correctedBases
01	442742	1214349589	6895	6904	18720399	6011	14316498	54	332107
13	442742	1214349589	9013	6184	15218984	5322	11450098	54	333110
25	442742	1214349589	8508	3093	9019786	2668	7029559	43	326966
37	442742	1214349589	8509	4684	13360334	4059	10237205	52	336027
49	442742	1214349589	8508	3957	12042467	3383	9018345	41	328121
61	442742	1214349589	9697	1529	3870354	1303	2861298	51	325812
73	442742	1214349589	11854	2147	5712072	1841	4390635	42	327333
86	442742	1214349589	8613	2569	6935082	2224	5336048	48	331860
02	442742	1214349589	12824	3780	11096610	3329	8871969	34	323021
14	442742	1214349589	8693	2941	9318783	2564	7287104	40	325173
26	442742	1214349589	8935	5784	16500380	4963	12647781	46	330277
38	442742	1214349589	9221	2811	7971497	2392	6163908	40	324088
50	442742	1214349589	9288	4749	12462464	4137	9712563	44	328924
62	442742	1214349589	9174	3967	11848677	3375	8829347	47	328707
74	442742	1214349589	12210	3466	10620051	2973	8106591	36	328178
87	442742	1214349589	11633	4083	12453036	3571	9730301	38	326598
03	442742	1214349589	11777	3235	9830717	2826	7715475	36	326087
15	442742	1214349589	11885	1557	4040043	1356	3237236	35	323217
27	442742	1214349589	9962	1855	5373209	1620	4225024	36	323964
39	442742	1214349589	10145	4758	17258908	3347	9306501	37	326540
51	442742	1214349589	7772	5059	14194791	4353	10755758	50	330081
63	442742	1214349589	11137	2218	6966727	1902	5412704	36	323824
75	442742	1214349589	11785	3739	11733233	3237	9036832	36	328862
88	442742	1214349589	11785	3873	10694201	3356	8300211	40	323798
04	442742	1214349589	7579	4637	12961227	4065	10265674	62	345593
16	442742	1214349589	10743	3007	9130773	2615	7209908	35	328884
28	442742	1214349589	8028	4220	11864742	3636	9089480	56	337388
40	442742	1214349589	7292	2920	7786312	2533	6085766	66	355000
52	442742	1214349589	8668	4085	11396290	3548	8891788	45	316862
64	442742	1214349589	9133	1876	5372040	1256	2826255	51	324167
76	442742	1214349589	7919	4919	12840246	4182	9524410	53	330549
89	442742	1214349589	5120	3362	10270127	2891	7949713	63	323580
05	442742	1214349589	8926	5349	14181884	4641	10820840	47	330658
17	442742	1214349589	13286	4430	11079897	3790	8422914	45	326209
29	442742	1214349589	9656	4454	11430743	3834	8598612	47	332467
41	442742	1214349589	5344	4572	12539334	3958	9593697	72	341450
53	442742	1214349589	10388	4775	12973065	4101	9837377	45	325393
65	442742	1214349589	8602	2267	6186267	1950	4668588	48	332566
77	442742	1214349589	9962	3664	10917572	3103	8208154	41	327752
90	442742	1214349589	8369	5248	14677449	4621	11628699	48	330970
06	442742	1214349589	12838	2943	7204179	2490	5280736	34	324975
18	442742	1214349589	9961	5139	13302879	3887	7983489	59	324859
30	442742	1214349589	8684	4086	11311355	3543	8743500	45	330762
42	442742	1214349589	8500	3006	8564426	2621	6583720	48	329749
54	442742	1214349589	7735	4990	13456458	4257	10273162	48	327135
66	442742	1214349589	8108	5038	12854066	4309	9727687	58	327560
78	442742	1214349589	7350	3166	9805594	2686	7347779	50	335164
91	442742	1214349589	10145	5836	15671946	4289	9095043	55	327822
07	442742	1214349589	7933	3259	9689314	2857	7658630	44	325944
19	442742	1214349589	7591	4586	11712766	3873	8744540	53	332079
31	442742	1214349589	7954	6416	15978906	5585	12250088	56	328304
43	442742	1214349589	8352	3357	9828465	2900	7506500	51	338073
55	442742	1214349589	7571	1742	4755399	1470	3537152	55	339221
67	442742	1214349589	8847	3066	9033126	2617	6875489	42	327005
79	442742	1214349589	9770	3973	10726328	2917	6130060	51	327673
92	442742	1214349589	5822	2575	6887387	2203	5157480	87	388468
08	442742	1214349589	8898	3228	8553339	2133	4231860	62	323645
20	442742	1214349589	4188	4574	8923418	3904	6487512	99	346104
32	442742	1214349589	8071	2148	5151967	1838	3856850	51	324592
44	442742	1214349589	8125	1903	4492842	1622	3288163	59	336942
56	442742	1214349589	8180	3541	10033448	3062	7695996	48	330063
68	442742	1214349589	8890	4836	13986058	3120	6608641	60	331213
80	442742	1214349589	7888	5100	12628890	4370	9708355	56	328998
93	442742	1214349589	9904	3520	8586324	2997	6455901	50	328917
09	442742	1214349589	9904	6678	12937360	5660	9465636	66	324118
21	442742	1214349589	9910	3757	8515621	3168	6084410	52	325455
33	442742	1214349589	9910	3664	8525998	3082	6264476	51	327317
45	442742	1214349589	10543	5154	13780554	4367	10065487	44	327279
57	442742	1214349589	10543	5427	14546142	4725	11263767	45	323898
69	442742	1214349589	10543	4960	12389376	4228	9250700	53	322157
81	442742	1214349589	10543	3648	9692223	3127	7340049	47	327034
94	442742	1214349589	10543	3878	11698308	3368	9107371	37	325252
10	442742	1214349589	10543	4175	10671435	3600	8132292	48	325962
22	442742	1214349589	10543	4773	11891342	4139	9074335	54	324561
34	442742	1214349589	10543	3433	9975552	2976	7630626	44	325792
46	442742	1214349589	10543	4144	10340737	3556	7831869	46	326569
58	442742	1214349589	10543	3990	11199940	3489	8715275	44	329057
70	442742	1214349589	10543	3754	9848172	3253	7593125	43	324304
