position	sample	reference	sangers
00	pMEGA_ref_00	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
02	pMEGA_ref_02	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
03	pMEGA_ref_03	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
04	pMEGA_ref_04	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
05	psPax2_ref_05	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
06	psPax2_ref_06	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
07	psPax2_ref_07	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
08	psPax2_ref_08	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
09	pMD2G_ref_09	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
10	pMD2G_ref_10	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
11	pMD2G_ref_11	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
12	pMD2G_ref_12	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
13	pMEGA_ref_13	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
14	pMEGA_ref_14	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
15	pMEGA_ref_15	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
16	pMEGA_ref_16	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
17	psPax2_ref_17	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
18	psPax2_ref_18	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
19	psPax2_ref_19	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
20	psPax2_ref_20	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
21	pMD2G_ref_21	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
22	pMD2G_ref_22	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
23	pMD2G_ref_23	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
24	pMD2G_ref_24	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
25	pMEGA_ref_25	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
26	pMEGA_ref_26	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
27	pMEGA_ref_27	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
28	pMEGA_ref_28	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
29	psPax2_ref_29	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
30	psPax2_ref_30	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
31	psPax2_ref_31	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
32	psPax2_ref_32	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
33	pMD2G_ref_33	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
34	pMD2G_ref_34	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
35	pMD2G_ref_35	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
36	pMD2G_ref_36	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
37	pMEGA_ref_37	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
38	pMEGA_ref_38	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
39	pMEGA_ref_39	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
40	pMEGA_ref_40	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMEGA_ref.fa	
41	psPax2_ref_41	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
42	psPax2_ref_42	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
43	psPax2_ref_43	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
44	psPax2_ref_44	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//psPax2_ref.fasta	
45	pMD2G_ref_45	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
46	pMD2G_ref_46	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
47	pMD2G_ref_47	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
48	pMD2G_ref_48	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pMD2G_ref.fasta	
57	PB_drop_for_Cre_ref_57	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
58	PB_drop_for_Cre_ref_58	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
59	PB_drop_for_Cre_ref_59	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
60	PB_drop_for_Cre_ref_60	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
61	PB_drop_for_Cre_ref_61	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
62	PB_drop_for_Cre_ref_62	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
63	PB_drop_for_Cre_ref_63	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
64	PB_drop_for_Cre_ref_64	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_drop_for_Cre_ref.fasta	
65	pRDA_174_ref_65	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pRDA_174_ref.fasta	
66	PB_EF1_D7T_ref_66	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//PB_EF1_D7T_ref.fasta	
67	pRS_Cs_ref_67	/analysis/2021_05_06_nanopore_pipeline/assess_assembly_101/references//pRS_Cs_ref.fasta	
