id	ref	sangerDir	sangerFile	sangerErrors	sangerLength	plasmidLength
37	pX330-antiOGROsa	FWD-577-7551	sangers/51B_002_FEE-175_CAB_D03.ab1	21	823	8509
49	pX330-antiNewROSA	FWD-578-7549	sangers/51B_002_FEE-175_CAB_D03.ab1	12	818	8508
02	pMEGA_v1	REV-888-12251	sangers/51H_004_FEE-172_ADY_E11.ab1	3	909	12824
02	pMEGA_v1	FWD-1012-10313	sangers/51H_003_FEE-172_AHV_D11.ab1	4	1067	12824
14	pLARRY_U6_Empty	FWD-890-2442	sangers/119804_D05_021.ab1	48	1229	8693
26	pLARRY_U6_D7G	REV-808-7790	sangers/51D_015_FEE-165_ADY_F06.ab1	3	855	8935
38	pLARRY_U6D7TG	REV-510-485	sangers/120576_H11_041.ab1	549	1102	9221
74	pCW_6xOp_T10	REV-386-6778	sangers/116349_A04_016.ab1	53	1105	12210
87	pCW_2xEnCAs12a	REV-1024-1877	sangers/51A_010_FEE-148_CHZ_B02.ab1	1	1032	11633
87	pCW_2xEnCAs12a	REV-881-5159	sangers/51A_016_FEE-148_CRC_H02.ab1	4	1065	11633
87	pCW_2xEnCAs12a	REV-734-5572	sangers/51A_015_FEE-148_CRB_G02.ab1	3	1045	11633
87	pCW_2xEnCAs12a	REV-813-5572	sangers/51A_014_FEE-148_CRA_F02.ab1	6	971	11633
87	pCW_2xEnCAs12a	REV-854-10058	sangers/51A_011_FEE-148_CQX_C02.ab1	3	967	11633
87	pCW_2xEnCAs12a	REV-818-10058	sangers/51A_012_FEE-148_CQY_D02.ab1	6	1008	11633
87	pCW_2xEnCAs12a	REV-651-1685	sangers/51A_013_FEE-148_CQZ_E02.ab1	3	710	11633
87	pCW_2xEnCAs12a	FWD-783-2999	sangers/52C_001_FEE-153_CRT_A05.ab1	2	1064	11633
87	pCW_2xEnCAs12a	REV-327-101	sangers/51B_012_FEE-150_CRM_H07.ab1	1	371	11633
87	pCW_2xEnCAs12a	FWD-916-3314	sangers/51A_009_FEE-148_CHX_A02.ab1	2	931	11633
03	pCW_6xOpCas12a	REV-895-5793	sangers/51A_002_FEE-147_CHZ_B01.ab1	5	1000	11777
03	pCW_6xOpCas12a	REV-1012-9243	sangers/51A_008_FEE-147_CRC_H01.ab1	3	1030	11777
03	pCW_6xOpCas12a	REV-833-9243	sangers/51A_007_FEE-147_CRB_G01.ab1	3	1035	11777
27	PB_AsCpf1_Blast	REV-933-3761	sangers/59D_003_FEE-049_FE65_E08.ab1	6	1060	9962
39	pY026_Blast	REV-929-434	sangers/51C_011_FEE-045_AEM_A10.ab1	6	1055	10145
