sample	name	length	piggyBac	lentiVirus	ptype	repeatTotal	repeatCount	repeatLargest	unrepeatProp
1	pCAG_GFP_25G	6895	False	False	NONE	817	38	26	0.8815083393763596
13	PB_BSD_STOP	9013	True	False	PIGGY	1723	15	714	0.8088316875624099
25	pX330-antiCAG	8508	False	False	NONE	93	3	44	0.9890691114245416
37	pX330-antiOGROsa	8509	False	False	NONE	93	3	44	0.9890703960512398
49	pX330-antiNewROSA	8508	False	False	NONE	93	3	44	0.9890691114245416
61	PB_MerCreMer	9697	False	False	NONE	986	3	773	0.8983190677529133
73	PB_BSD_STOP_Cas12a	11854	True	False	PIGGY	1009	14	470	0.9148810528091783
86	PB_3xSTOP	8613	True	False	PIGGY	1723	15	714	0.7999535585742482
2	pMEGA_v1	12824	False	True	LENTI	4249	190	183	0.6686681222707423
14	pLARRY_U6_Empty	8693	False	True	LENTI	225	3	183	0.9741171057172437
26	pLARRY_U6_D7G	8935	False	True	LENTI	245	4	183	0.9725797425853385
38	pLARRY_U6D7TG	9221	False	True	LENTI	386	11	183	0.9581390304739182
50	pX458	9288	False	False	NONE	499	18	45	0.9462747631352283
62	pX459	9174	False	False	NONE	94	3	45	0.9897536516241552
74	pCW_6xOp_T10	12210	False	True	LENTI	989	18	183	0.919000819000819
87	pCW_2xEnCAs12a	11633	False	True	LENTI	989	18	183	0.9149832373420442
3	pCW_6xOpCas12a	11777	False	True	LENTI	989	18	183	0.9160227562197504
15	pCW_Cas9_Puro	11885	False	True	LENTI	989	18	183	0.9167858645351283
27	PB_AsCpf1_Blast	9962	True	False	PIGGY	257	2	231	0.9742019674764104
39	pY026_Blast	10145	False	False	NONE	136	4	72	0.9865943814687038
51	PB_EF1_D7TG	7772	True	False	PIGGY	398	9	231	0.9487905301080803
63	pRG232_6xOPCas12a	11137	False	True	LENTI	225	3	183	0.9797970728203287
75	pRDA112_2xNLS_AsCas12a	11785	False	True	LENTI	205	2	183	0.982605006364022
88	pRDA174_2xEnCas12a	11785	False	True	LENTI	205	2	183	0.982605006364022
4	PB_CMV_Set2	7579	True	False	PIGGY	687	23	231	0.909354796147249
16	PB_AsCpf1_Puro	10743	True	False	PIGGY	257	2	231	0.9760774457786465
28	PB_TCF_guides	8028	True	False	PIGGY	831	25	231	0.8964872944693573
40	PB_CMV_BC_noGuides	7292	True	False	PIGGY	257	2	231	0.9647558968732858
52	PB_TCF_SiT_C1_BC1_A1	8668	True	False	PIGGY	785	23	231	0.9094370096908168
64	pCMV_dCpf1_eBE	9133	False	False	NONE	427	9	249	0.953246468849228
76	PB_TCF_GFPF_A1	7919	True	False	PIGGY	499	9	231	0.9369869933072358
89	pGL3_RARE_Luc	5120	False	False	NONE	208	7	60	0.959375
5	pCAG_BsCas12a	8926	False	False	NONE	47	2	26	0.994734483531257
17	pCI_152_pLenti_SiT_Cas12a	13286	False	False	NONE	975	11	527	0.9266144814090019
29	pMBP_LbCas12a	9656	False	False	NONE	25	1	25	0.9974109362054681
41	PB_BC1	5344	True	False	PIGGY	257	2	231	0.9519086826347305
53	PB_BC1_AsCpf1_Blast	10388	True	False	PIGGY	257	2	231	0.9752599152868695
65	PB_TCF_Campa1-5_BC1_A1	8602	True	False	PIGGY	785	23	231	0.9087421529876772
77	PB_AsCpf1_Blast	9962	True	False	PIGGY	257	2	231	0.9742019674764104
90	PB_CMV_Campa1-5_C1	8369	True	False	PIGGY	543	16	231	0.9351176962600072
6	lentiCas9_Blast	12838	False	True	LENTI	324	5	189	0.9747624240535909
18	pY026_CampaG1-5	9961	False	False	NONE	341	14	72	0.9657664893083023
30	PB_TCF_GFPF_C1_A1	8684	True	False	PIGGY	1153	29	231	0.8672270842929526
