lines	bases	name
97	6860	1015
102	7237	27340
101	7127	47504
79	5583	52535
121	8553	32751
106	7478	12298
81	5688	10953
164	11585	71720
155	10956	14080
129	9119	64073
133	9421	48140
80	5640	18110
158	11180	104991
138	9743	11427
116	8206	14723
98	6939	32515
109	7688	45161
108	7602	21232
84	5903	52925
93	6600	8454
87	6121	24595
153	10862	12260
106	7525	8381
79	5549	50473
138	9785	68122
112	7891	37120
115	8100	31485
47	3314	45605
152	10785	21915
134	9509	47327
138	9765	20737
107	7531	11908
73	5178	16542
106	7514	57822
64	4529	61463
117	8270	10808
128	9029	10878
166	11752	29435
101	7102	66801
62	4352	31815
116	8229	47549
131	9279	48139
106	7503	16337
68	4799	36412
79	5575	49172
127	9017	12251
158	11166	35175
166	11721	59946
101	7107	12301
92	6471	26722
104	7317	43796
146	10329	52963
132	9306	62988
105	7410	31367
90	6346	40729
140	9932	66810
77	5419	47443
240	16973	87360
156	11063	14129
106	7505	36325
138	9734	73501
148	10445	36939
60	4240	12253
87	6163	70219
116	8210	60415
114	8026	20960
213	15086	52961
81	5734	26678
104	7354	26646
120	8489	81070
117	8259	22945
134	9455	39196
122	8659	75127
155	10947	51692
106	7491	65974
84	5906	12259
95	6714	11181
92	6532	27052
180	12778	49792
206	14595	80925
160	11298	110060
89	6298	14873
77	5398	14436
132	9361	48138
133	9422	8449
72	5064	63890
101	7160	35617
122	8606	42230
102	7187	1864
72	5092	83467
71	4985	40342
40	2830	1654
99	7018	11916
114	8051	52213
150	10592	30313
92	6478	107177
